Wall time,Step,Value
1671491037.9325542,0,0.34602075815200806
1671491112.5782824,1,-46.4882926940918
1671491167.7151303,2,-41.74757385253906
1671491222.1640432,3,-36.24161148071289
1671491276.54857,4,-67.84565734863281
1671491331.2525077,5,-17.602996826171875
1671491385.4543128,6,-0.7936508059501648
1671491435.780342,7,-33.77483367919922
1671491489.4608645,8,-57.894737243652344
1671491543.2260249,9,-9.090909004211426
1671491594.480763,10,-61.80555725097656
1671491646.3380344,11,-60.85409164428711
1671491695.8710139,12,-52.07667541503906
1671491744.931446,13,-62.68656539916992
1671491792.0696387,14,-34.02777862548828
1671491845.666404,15,-16.349809646606445
1671491900.4682329,16,-19.580419540405273
1671491954.709515,17,-39.06809997558594
1671492008.1775022,18,-34.78260803222656
1671492060.1550083,19,-20.577617645263672
1671492114.3873298,20,-38.053096771240234
1671492163.3180885,21,-72.88135528564453
1671492217.2153094,22,-41.558441162109375
1671492271.0881586,23,-39.49044418334961
1671492319.897077,24,-27.08333396911621
1671492441.3244174,25,-19.230770111083984
1671492495.4505582,26,-52.702701568603516
1671492546.7376025,27,-25.925926208496094
1671492589.6952813,28,18.644067764282227
1671492632.059269,29,-55.17241287231445
1671492684.6305366,30,-63.21070098876953
1671492736.7196136,31,-71.24600982666016
1671492781.5151103,32,-26.573427200317383
1671492831.4416711,33,-55.69620132446289
1671492882.3235252,34,-40.82840347290039
1671492932.5757682,35,-13.043478012084961
1671492982.1922119,36,-28.571428298950195
1671493028.712897,37,-18.032787322998047
1671493080.3214107,38,-26.28205108642578
1671493134.6408997,39,-48.453609466552734
1671493184.596934,40,-50.17793655395508
1671493230.394364,41,-49.6644287109375
1671493278.44899,42,-13.357400894165039
1671493322.9287524,43,-58.33333206176758
1671493371.3450124,44,-28.802589416503906
1671493421.7538145,45,-19.580419540405273
1671493472.5214548,46,-27.21518898010254
1671493523.4435363,47,-54.69255828857422
1671493574.291168,48,-34.64052200317383
1671493619.1774766,49,-52.05479431152344
1671493744.0510216,50,-19.70802879333496
1671493788.0926034,51,-17.96875
1671493833.745762,52,-24.092409133911133
1671493879.4954813,53,-63.6363639831543
1671493924.7280576,54,-20.13888931274414
1671493972.2918773,55,-53.57143020629883
1671494022.6573822,56,-31.65467643737793
1671494073.2262206,57,-2.735562324523926
1671494120.3395941,58,2.5641026496887207
1671494165.4936843,59,-7.1207427978515625
1671494211.1142368,60,-5.92334508895874
1671494256.6731558,61,-69.0721664428711
1671494302.0949278,62,-35.185184478759766
1671494347.4880383,63,-53.62318801879883
1671494392.270826,64,-36.66666793823242
1671494437.2073097,65,-61.6724739074707
1671494481.9609308,66,-27.710844039916992
1671494528.0148318,67,-53.64238357543945
1671494571.8784246,68,-31.159420013427734
1671494616.734375,69,-44.44444274902344
1671494663.7415645,70,-28.571428298950195
1671494718.0368743,71,-34.482757568359375
1671494768.9943416,72,-24.187725067138672
1671494819.58388,73,-7.643311977386475
1671494868.2374144,74,-3.614457845687866
1671494997.1007981,75,-53.23741149902344
1671495045.6497173,76,-41.78082275390625
1671495093.701383,77,-32.25806427001953
1671495143.2344248,78,-28.32764434814453
1671495192.8855946,79,-14.179104804992676
1671495243.0374231,80,-17.525774002075195
1671495293.0571423,81,-64.78873443603516
1671495346.282165,82,-23.33333396911621
1671495396.4839296,83,-36.507938385009766
1671495445.7072554,84,-28.32764434814453
1671495494.2885456,85,-62.825279235839844
1671495545.7054808,86,-38.98305130004883
1671495597.2263296,87,-24.590164184570312
1671495648.4801807,88,-20.529800415039062
1671495698.6218936,89,-32.72171401977539
1671495749.679145,90,-31.899641036987305
1671495800.6240008,91,-32.55131912231445
1671495851.5914183,92,-25.650558471679688
1671495903.5474606,93,-15.708812713623047
1671495952.8521805,94,-32.65993118286133
1671496002.2999668,95,-36.66666793823242
1671496052.4278803,96,-55.93220520019531
1671496101.3109343,97,-16.95501708984375
1671496150.8890715,98,4.790419101715088
1671496195.5562844,99,-26.3157901763916
1671496325.6609907,100,-54.98392105102539
1671496371.7594745,101,-23.664121627807617
1671496417.1797192,102,-33.5793342590332
1671496462.2073023,103,-65.27777862548828
1671496504.6668096,104,-10.493826866149902
1671496543.8705726,105,-43.77510070800781
1671496589.476685,106,-58.477508544921875
1671496634.0270185,107,-26.3157901763916
1671496679.6103127,108,-26.573427200317383
1671496726.0958495,109,-30.65693473815918
1671496771.6133142,110,-36.02693557739258
1671496816.82989,111,-64.74359130859375
1671496862.8155146,112,-31.59609031677246
1671496908.0700965,113,-58.33333206176758
1671496952.6662943,114,-15.384614944458008
1671496997.4645643,115,1.8181818723678589
1671497042.7291043,116,-9.090909004211426
1671497088.7347662,117,-66.78966522216797
1671497134.0608895,118,-19.41391944885254
1671497180.011896,119,-7.8947367668151855
